[2021-02-22 18:50:29] ERROR: {"code":0,"msg":"property not exists:app\\common\\model\\Product->condition_system","data":{"File":"G:\\phpstudy\\www\\jia_zhuang\\thinkphp\\library\\think\\Model.php","file_line":626,"remote":"192.168.16.191","method":"GET","uri":"\/admin.php\/admin\/product\/edit\/id\/6.html"}}
[2021-02-22 19:18:09] ERROR: {"code":0,"msg":"method param miss:id","data":{"File":"G:\\phpstudy\\www\\jia_zhuang\\thinkphp\\library\\think\\App.php","file_line":431,"remote":"192.168.16.191","method":"GET","uri":"\/admin.php\/user\/user\/set_type\/uid\/1.html"}}
[2021-02-22 19:20:31] ERROR: {"code":0,"msg":"method param miss:id","data":{"File":"G:\\phpstudy\\www\\jia_zhuang\\thinkphp\\library\\think\\App.php","file_line":431,"remote":"192.168.16.191","method":"GET","uri":"\/admin.php\/user\/user\/set_type\/uid\/1.html"}}
[2021-02-22 19:21:08] ERROR: {"code":0,"msg":"Undefined variable: meta_title","data":{"File":"G:\\phpstudy\\www\\jia_zhuang\\runtime\\temp\\3e33b712db0c1a652a164637c2f0584e.php","file_line":50,"remote":"192.168.16.191","method":"GET","uri":"\/admin.php\/user\/user\/set_type\/uid\/1.html"}}
[2021-02-22 19:21:33] ERROR: {"code":0,"msg":"Undefined variable: info","data":{"File":"G:\\phpstudy\\www\\jia_zhuang\\runtime\\temp\\3e33b712db0c1a652a164637c2f0584e.php","file_line":253,"remote":"192.168.16.191","method":"GET","uri":"\/admin.php\/user\/user\/set_type\/uid\/1.html"}}
[2021-02-22 19:21:45] ERROR: {"code":0,"msg":"Undefined variable: province","data":{"File":"G:\\phpstudy\\www\\jia_zhuang\\runtime\\temp\\3e33b712db0c1a652a164637c2f0584e.php","file_line":282,"remote":"192.168.16.191","method":"GET","uri":"\/admin.php\/user\/user\/set_type\/uid\/1.html"}}
[2021-02-22 19:22:45] ERROR: {"code":0,"msg":"Undefined index: city","data":{"File":"G:\\phpstudy\\www\\jia_zhuang\\runtime\\temp\\3e33b712db0c1a652a164637c2f0584e.php","file_line":311,"remote":"192.168.16.191","method":"GET","uri":"\/admin.php\/user\/user\/set_type\/uid\/1.html"}}
[2021-02-22 19:23:06] ERROR: {"code":0,"msg":"Undefined index: city","data":{"File":"G:\\phpstudy\\www\\jia_zhuang\\runtime\\temp\\3e33b712db0c1a652a164637c2f0584e.php","file_line":311,"remote":"192.168.16.191","method":"GET","uri":"\/admin.php\/user\/user\/set_type\/uid\/1.html"}}
[2021-02-22 19:26:17] ERROR: {"code":0,"msg":"Undefined variable: typelist","data":{"File":"G:\\phpstudy\\www\\jia_zhuang\\runtime\\temp\\3e33b712db0c1a652a164637c2f0584e.php","file_line":281,"remote":"192.168.16.191","method":"GET","uri":"\/admin.php\/user\/user\/set_type\/uid\/1.html"}}
[2021-02-22 19:41:03] ERROR: {"code":0,"msg":"Undefined variable: city_list","data":{"File":"G:\\phpstudy\\www\\jia_zhuang\\runtime\\temp\\3e33b712db0c1a652a164637c2f0584e.php","file_line":290,"remote":"192.168.16.191","method":"GET","uri":"\/admin.php\/user\/user\/set_type\/uid\/1.html"}}
[2021-02-22 19:42:15] ERROR: {"code":0,"msg":"Illegal string offset 'id'","data":{"File":"G:\\phpstudy\\www\\jia_zhuang\\runtime\\temp\\3e33b712db0c1a652a164637c2f0584e.php","file_line":282,"remote":"192.168.16.191","method":"GET","uri":"\/admin.php\/user\/user\/set_type\/uid\/1.html"}}
